,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
102,Nuevo Progreso,1,US,1563050262,33,26.05,-97.95,102.99,5.82
103,Touros,20,BR,1563050263,74,-5.2,-35.46,80.6,5.82
104,Bahawalpur,60,PK,1563050265,44,29.39,71.66,93.8,18.79
105,Luganville,75,VU,1563050266,83,-15.51,167.18,78.8,6.93
106,Aykhal,90,RU,1563050267,93,65.95,111.51,55.4,2.24
107,Constitucion,75,MX,1563050268,29,23.99,-104.67,80.01,10.29
108,Hirara,100,JP,1563050270,82,24.8,125.28,83.72,22.26
109,Victoria,75,BN,1563050271,88,5.28,115.24,77.0,9.19
110,Sitka,0,US,1563050273,45,37.17,-99.65,89.01,4.0
111,Rio Gallegos,90,AR,1563050274,93,-51.62,-69.22,41.0,6.2
112,Kruisfontein,0,ZA,1563050275,88,-34.0,24.73,52.4,5.26
113,Mayo,75,CA,1563050276,52,63.59,-135.9,68.0,2.24
114,Norman Wells,40,CA,1563050278,37,65.28,-126.83,68.0,10.29
115,Talnakh,90,RU,1563050279,100,69.49,88.39,50.0,8.95
116,Dikson,0,RU,1563050281,94,73.51,80.55,32.42,3.56
117,Guarapari,0,BR,1563050283,61,-20.67,-40.5,77.0,10.29
118,Qasigiannguit,40,GL,1563050284,66,68.82,-51.19,50.0,6.93
119,Marion,20,US,1563050050,66,35.21,-90.2,91.99,8.05
120,Bredasdorp,0,ZA,1563050286,93,-34.53,20.04,55.0,3.27
121,Barrow,0,AR,1563050288,54,-38.31,-60.23,49.52,2.73
122,Palmer,75,AU,1563050289,66,-34.85,139.16,53.6,14.99
123,Vaini,100,IN,1563050291,90,15.34,74.49,76.88,1.54
124,Muscat,57,OM,1563050292,94,23.6,58.55,86.0,5.82
125,Castro,90,CL,1563050293,93,-42.48,-73.76,48.2,10.29
126,Pandamatenga,0,BW,1563050294,29,-18.54,25.64,51.68,5.28
127,Torbay,75,CA,1563050275,72,47.66,-52.73,63.0,6.93
128,Poum,100,MK,1563050297,91,41.28,20.71,55.28,2.24
129,Poddorye,99,RU,1563050298,91,57.47,31.12,50.06,2.51
130,Waupun,1,US,1563050300,58,43.63,-88.73,88.0,10.29
131,Bathsheba,20,BB,1563050301,62,13.22,-59.52,86.0,20.8
132,Fare,1,PF,1563050303,79,-16.7,-151.02,77.24,3.44
133,Shigony,100,RU,1563050304,89,53.39,48.68,60.32,1.88
134,Taltal,100,CL,1563050305,65,-25.41,-70.49,58.34,3.8
135,Prenzlau,31,DE,1563050307,66,53.32,13.87,66.0,4.61
136,Karratha,0,AU,1563050308,26,-20.74,116.85,65.9,20.18
137,Whitehorse,90,CA,1563050284,59,60.72,-135.06,63.0,4.7
138,Ust-Kuyga,92,RU,1563050311,58,70.0,135.55,53.48,5.17
139,Bongaigaon,100,IN,1563050312,98,26.48,90.56,74.9,3.62
140,Charters Towers,57,AU,1563050313,70,-20.07,146.27,53.3,15.19
141,Sur,44,OM,1563050315,79,22.57,59.53,77.6,22.15
142,Warmbad,75,DE,1563050316,87,50.67,13.08,61.0,2.24
143,Novobirilyussy,72,RU,1563050317,61,56.95,90.69,57.26,3.98
144,Carnarvon,0,ZA,1563050318,23,-30.97,22.13,55.82,8.93
145,Chokurdakh,100,RU,1563050320,63,70.62,147.9,48.08,6.02
146,Yar-Sale,100,RU,1563050321,55,66.83,70.83,57.62,16.75
147,Sao Filipe,5,CV,1563050323,84,14.9,-24.5,73.82,18.54
148,Labuhan,41,ID,1563050324,92,-2.54,115.51,67.7,1.68
149,Saskylakh,0,RU,1563050326,57,71.97,114.09,49.88,3.85
150,Nuuk,75,GL,1563050327,87,64.17,-51.74,48.2,11.41
151,Hilo,20,US,1563050328,54,19.71,-155.08,84.0,3.36
152,Bangassou,40,CF,1563050330,85,4.74,22.82,68.96,0.47
153,San Quintin,36,PH,1563050331,90,17.54,120.52,74.72,3.74
154,Puerto Cabello,97,VE,1563050332,80,10.47,-68.01,80.66,5.86
155,College,1,US,1563050334,82,64.86,-147.8,71.6,5.82
156,Hamilton,75,CA,1563050334,73,43.26,-79.87,86.0,12.75
157,Guadalajara,0,ES,1563050336,22,40.63,-3.16,87.8,12.75
158,Tucuman,0,PE,1563050337,27,-17.17,-70.89,63.92,8.01
159,Angul,31,IN,1563050339,68,20.84,85.1,83.36,11.21
160,Moron,71,HT,1563050340,73,18.56,-74.26,82.82,8.12
161,Chadiza,0,ZM,1563050342,55,-14.06,32.43,58.7,12.62
162,Batagay,40,RU,1563050343,70,67.65,134.64,63.38,3.51
163,Bonfim,0,GY,1563050344,54,3.36,-59.84,88.04,8.81
164,Ribeira Grande,75,PT,1563050345,73,38.52,-28.7,75.2,3.36
165,Lacolle,20,CA,1563050347,57,45.08,-73.37,84.99,16.11
166,Lamballe,0,FR,1563050348,87,48.47,-2.52,64.0,8.05
167,Lisakovsk,0,KZ,1563050350,43,52.55,62.49,73.1,11.43
168,Cidreira,100,BR,1563050351,94,-30.17,-50.22,57.44,6.02
169,Atuona,0,PF,1563050352,76,-9.8,-139.03,80.84,21.03
170,Hofn,100,IS,1563050354,91,64.25,-15.21,42.86,10.76
171,Bizhbulyak,100,RU,1563050355,97,53.69,54.27,62.84,7.43
172,Roald,75,NO,1563050356,76,62.58,6.12,53.6,11.41
173,Champerico,75,MX,1563050087,55,16.38,-93.6,86.0,9.17
174,Mayor Pablo Lagerenza,20,PY,1563050359,43,-19.93,-60.77,85.7,7.31
175,Khatanga,0,RU,1563050360,63,71.98,102.47,50.42,9.28
176,Tessalit,21,ML,1563050362,22,20.2,1.01,95.96,10.74
177,Kaduqli,99,SD,1563050363,63,11.01,29.72,78.68,3.94
178,Glossa,1,GR,1563050365,57,35.47,23.78,78.8,4.7
179,Fortuna,40,ES,1563050366,83,38.18,-1.13,81.0,9.17
180,Yatou,40,CM,1563050367,100,3.63,9.81,75.2,11.72
181,Aksu,0,KZ,1563050369,82,52.04,76.93,60.8,8.95
182,Makakilo City,75,US,1563050370,62,21.35,-158.09,84.2,13.87
183,Hermosillo,20,MX,1563050303,33,29.09,-110.96,102.99,4.7
184,Puerto Escondido,90,MX,1563050373,70,15.86,-97.07,86.0,6.93
185,Dharchula,100,IN,1563050374,98,29.85,80.53,54.2,0.85
186,Marawi,100,PH,1563050375,94,8.0,124.29,73.0,5.01
187,Yellowknife,20,CA,1563050377,44,62.45,-114.38,62.01,13.87
188,Tinskoy,88,RU,1563050378,72,56.15,96.92,56.72,4.16
189,Meteti,98,PA,1563050380,72,8.5,-77.98,86.96,3.89
190,Sao Joao da Barra,0,BR,1563050381,50,-21.64,-41.05,78.8,6.93
191,Kavaratti,96,IN,1563050383,77,10.57,72.64,83.0,12.84
192,Mahajanga,40,MG,1563050384,73,-15.72,46.32,75.2,2.24
193,Thunder Bay,40,CA,1563050288,34,48.41,-89.26,84.0,5.82
194,Gizo,40,IL,1563050387,69,31.8,34.94,79.0,4.7
195,Pevek,100,RU,1563050388,99,69.7,170.27,35.3,8.23
196,Kisangani,1,CD,1563050389,93,0.52,25.21,68.96,2.15
197,Niamey,20,NE,1563050391,49,13.52,2.11,89.6,4.7
198,Lazarev,100,RU,1563050392,96,52.23,141.51,50.06,2.42
199,Aldan,93,RU,1563050393,97,58.61,125.39,61.94,0.83
200,Chipinge,0,ZW,1563050394,53,-20.19,32.62,56.18,4.83
201,Ancud,90,CL,1563050396,93,-41.87,-73.83,48.2,10.29
202,Virginia Beach,75,US,1563050397,65,36.85,-75.98,91.0,9.17
203,Namibe,91,AO,1563050398,82,-15.19,12.15,66.26,1.54
204,Seoul,20,KR,1563050303,100,37.57,126.98,69.8,1.12
205,Kukushtan,75,RU,1563050401,100,57.65,56.5,64.4,4.47
206,Hovd,75,NO,1563050403,66,63.83,10.7,55.4,16.11
207,Nkoteng,85,CM,1563050404,97,4.5,12.12,69.32,3.91
208,Provideniya,0,RU,1563050405,62,64.42,-173.23,61.58,4.63
209,Lagoa,0,PT,1563050407,83,37.14,-8.45,69.8,17.22
210,Ponta do Sol,19,BR,1563050408,56,-20.63,-46.0,66.62,1.48
211,Tasiilaq,5,GL,1563050409,80,65.61,-37.64,41.0,9.17
212,Codrington,35,AU,1563050411,71,-28.95,153.24,44.6,4.7
213,Camacha,40,PT,1563050412,78,33.08,-16.33,71.6,13.87
214,Washougal,75,US,1563050413,50,45.58,-122.35,80.01,4.7
215,Toccoa,1,US,1563050415,58,34.58,-83.33,86.0,4.7
216,Coihaique,75,CL,1563050416,93,-45.58,-72.07,41.0,9.17
217,Severo-Kurilsk,0,RU,1563050417,89,50.68,156.12,44.12,8.46
218,Richards Bay,0,ZA,1563050418,78,-28.77,32.06,69.86,20.69
219,Vao,90,EE,1563050420,82,59.1,26.19,51.32,0.94
220,Alexandria,100,RO,1563050313,49,43.97,25.33,69.32,3.74
221,Dulce Nombre de Culmi,89,HN,1563050423,56,15.08,-85.56,80.3,3.71
222,Luanda,0,AO,1563050424,83,-8.83,13.24,71.6,6.93
223,Alice Springs,0,AU,1563050425,67,-23.7,133.88,37.4,5.82
224,Sistranda,75,NO,1563050426,71,63.73,8.83,52.0,6.93
225,Wenling,69,CN,1563050428,96,28.38,121.38,75.99,2.59
226,Mahebourg,75,MU,1563050429,53,-20.41,57.7,71.6,6.93
227,Mineros,40,BO,1563050431,51,-17.12,-63.23,86.0,17.22
228,Camacupa,0,AO,1563050432,29,-12.02,17.48,56.0,1.45
229,Petrykiv,84,UA,1563050433,67,49.53,25.58,63.0,1.01
230,Longkou,0,CN,1563050434,70,37.64,120.47,77.06,5.48
231,Dingle,100,PH,1563050436,85,11.0,122.67,74.18,2.04
232,Rawson,0,AR,1563050437,47,-43.3,-65.11,50.24,7.78
233,Anchorage,90,US,1563050328,77,61.22,-149.89,66.99,6.93
234,Faanui,0,PF,1563050439,72,-16.48,-151.75,78.14,3.31
235,Thessalon,1,CA,1563050441,60,46.26,-83.55,69.8,17.22
236,Tazovskiy,0,RU,1563050442,78,67.47,78.7,42.5,5.82
237,Nishihara,75,JP,1563050444,94,35.74,139.53,71.01,3.2
238,Pacific Grove,90,US,1563050445,67,36.62,-121.92,91.99,8.05
239,Ilulissat,40,GL,1563050446,66,69.22,-51.1,50.0,6.93
240,Cayenne,40,GF,1563050447,66,4.94,-52.33,86.0,11.41
241,Masuguru,0,MZ,1563050449,51,-11.38,38.46,68.06,4.61
242,Hambantota,92,LK,1563050450,80,6.12,81.12,82.46,14.29
243,Kaeo,31,NZ,1563050451,83,-35.1,173.78,62.01,20.0
244,La Romana,40,DO,1563050378,62,18.43,-68.97,87.8,17.22
245,Kaitangata,100,NZ,1563050454,80,-46.28,169.85,46.99,1.99
246,Rio Grande,90,BR,1563050228,82,-32.03,-52.1,55.4,6.93
247,Hassleholm,99,SE,1563050456,93,56.16,13.77,64.0,6.93
248,Vanimo,75,PG,1563050458,78,-2.67,141.3,79.94,6.64
249,Floro,0,NO,1563050459,67,61.6,5.03,57.2,17.22
250,Tilichiki,60,RU,1563050460,65,60.47,166.1,60.68,0.81
251,Sorland,52,NO,1563050462,85,67.67,12.69,49.16,24.29
252,Airai,22,TL,1563050463,82,-8.93,125.41,66.08,4.59
253,Henties Bay,0,NA,1563050464,96,-22.12,14.28,52.0,7.67
254,Ban Nahin,99,LA,1563050466,98,18.24,104.21,73.46,1.88
255,Rome,0,IT,1563050259,78,41.89,12.48,77.0,10.29
256,Banepa,75,NP,1563050468,100,27.63,85.52,68.0,2.24
257,Sioux Lookout,40,CA,1563050375,38,50.1,-91.92,75.2,5.82
258,Boyuibe,100,BO,1563050472,81,-20.43,-63.28,64.1,2.91
259,Praya,20,ID,1563050473,93,-8.71,116.27,66.2,10.13
260,Lata,24,IN,1563050474,91,30.78,78.62,40.16,3.65
261,Jiuquan,0,CN,1563050476,41,39.73,98.49,63.38,3.29
262,Tiksi,100,RU,1563050477,84,71.64,128.87,51.5,12.03
263,Iskateley,56,RU,1563050478,81,67.68,53.15,54.74,5.19
264,Te Anau,100,NZ,1563050479,84,-45.41,167.72,44.66,5.44
265,Tabuk,2,PH,1563050481,98,17.41,121.44,63.2,1.34
266,Colesberg,0,ZA,1563050482,28,-30.72,25.1,48.44,4.05
267,Husavik,0,CA,1563050484,27,50.56,-96.99,84.0,5.99
268,Kasongo-Lunda,100,CD,1563050485,49,-6.48,16.82,75.98,1.48
269,Esperance,83,AU,1563050486,93,-33.86,121.89,42.8,8.05
270,Pemba,75,MZ,1563050487,78,-12.97,40.52,77.0,13.87
271,Edeia,0,BR,1563050489,33,-17.34,-49.93,79.22,2.77
272,Mount Gambier,90,AU,1563050490,93,-37.83,140.78,48.2,21.92
273,Saint Anthony,1,US,1563050492,25,43.97,-111.68,91.4,12.75
274,Sibi,53,PK,1563050493,30,29.55,67.88,95.78,4.32
275,Galle,100,GN,1563050495,98,10.08,-12.83,70.76,4.16
276,Cururupu,0,BR,1563050496,80,-1.82,-44.87,77.6,4.0
277,Sorrento,0,AU,1563050497,76,-31.82,115.75,50.0,10.29
278,Durango,75,MX,1563050499,29,24.02,-104.67,79.0,10.29
279,Nemuro,100,JP,1563050500,96,43.32,145.57,54.74,13.31
280,Pronsk,0,RU,1563050502,86,54.12,39.61,52.0,1.86
281,Bloemfontein,0,ZA,1563050503,56,-29.12,26.22,41.0,2.24
282,Hanzhong,0,CN,1563050504,82,33.08,107.03,65.18,0.96
283,Talcahuano,75,CL,1563050506,82,-36.72,-73.12,55.4,8.05
284,Otjimbingwe,0,NA,1563050507,41,-22.35,16.13,54.56,1.61
285,Iqaluit,20,CA,1563050508,66,63.75,-68.52,53.6,9.17
286,Angoche,24,MZ,1563050510,82,-16.23,39.91,67.88,4.25
287,Constantine,0,DZ,1563050511,30,36.36,6.61,86.0,3.36
288,Buraydah,0,SA,1563050512,18,26.33,43.97,93.2,11.41
289,The Valley,20,AI,1563050461,66,18.22,-63.06,87.01,13.87
290,Zhigansk,100,RU,1563050515,53,66.77,123.37,59.96,8.66
291,Lazaro Cardenas,75,MX,1563050312,25,28.39,-105.62,90.0,6.93
292,Margate,75,AU,1563050517,70,-43.03,147.26,46.99,8.05
293,Saldanha,55,PT,1563050519,69,41.42,-6.55,69.32,5.61
294,Adrar,0,DZ,1563050520,8,27.87,-0.29,105.8,8.05
295,Beysehir,0,TR,1563050521,45,37.68,31.72,58.34,4.97
296,Alta Floresta,40,BR,1563050523,34,-9.87,-56.08,93.2,3.36
297,Cape Coast,0,GH,1563050524,88,5.11,-1.24,74.36,8.12
298,Biak,100,ID,1563050525,98,-0.91,122.88,61.76,5.79
299,Yagodnoye,45,RU,1563050527,40,62.52,149.63,70.4,3.83
300,Kirakira,100,SB,1563050528,84,-10.46,161.92,79.4,6.06
301,Ossora,0,RU,1563050529,53,59.24,163.07,68.06,2.13
302,Bara,0,NG,1563050531,74,10.41,10.6,76.88,6.11
303,Sinazongwe,0,ZM,1563050533,37,-17.26,27.46,56.18,4.94
304,Okha,92,RU,1563050534,91,53.59,142.95,52.4,11.5
305,Tomatlan,0,MX,1563050535,68,19.93,-105.25,86.06,11.56
306,Aktau,20,KZ,1563050274,82,43.65,51.16,68.0,8.95
307,Sterling,20,US,1563050538,40,39.0,-77.4,93.0,4.7
308,Tuatapere,100,NZ,1563050539,97,-46.13,167.69,45.0,5.99
309,Ipixuna,100,BR,1563050540,96,-1.76,-48.8,75.44,4.16
310,Hit,0,IQ,1563050542,22,33.64,42.83,85.7,10.56
311,Pudozh,10,RU,1563050543,96,61.81,36.54,42.5,3.38
312,Kuybyshevo,0,UA,1563050544,55,44.63,33.86,70.04,2.59
313,Velikooktyabrskiy,83,RU,1563050546,94,57.43,33.81,47.9,3.27
314,Tulun,100,RU,1563050547,74,54.56,100.58,54.02,2.8
315,Jacareacanga,74,BR,1563050548,54,-6.22,-57.76,85.34,2.55
316,Zeya,0,RU,1563050549,85,53.74,127.27,62.66,1.92
317,Ahipara,90,NZ,1563050551,82,-35.17,173.16,61.94,38.92
318,Plettenberg Bay,0,ZA,1563050553,83,-34.05,23.37,53.84,3.87
319,Havelock,1,US,1563050554,78,34.88,-76.9,86.0,9.17
320,Yaan,75,NG,1563050555,93,7.38,8.57,74.72,5.35
321,Libreville,40,GA,1563050328,88,0.39,9.45,78.8,6.93
322,Ishigaki,95,JP,1563050558,84,24.34,124.16,84.62,20.98
323,Port Lincoln,95,AU,1563050559,76,-34.72,135.86,55.46,21.14
324,Izhma,99,RU,1563050561,97,65.01,53.91,56.0,2.68
325,Lalin,0,CN,1563050562,93,45.23,126.86,64.4,2.24
326,Juneau,90,US,1563050563,82,58.3,-134.42,62.01,5.82
327,Solnechnyy,76,RU,1563050565,97,50.72,136.64,61.04,3.36
328,Geraldton,75,CA,1563050531,41,49.72,-86.95,75.2,11.41
329,Takoradi,23,GH,1563050567,92,4.89,-1.75,71.84,2.73
330,Nouadhibou,0,MR,1563050568,73,20.93,-17.03,71.6,18.34
331,Alofi,75,NU,1563050570,78,-19.06,-169.92,73.4,18.34
332,Machico,75,PT,1563050572,73,32.7,-16.77,71.6,6.93
333,Anloga,20,GH,1563050573,88,5.79,0.9,77.0,6.93
334,Sawtell,0,AU,1563050574,52,-30.38,153.1,44.6,8.05
335,Okhotsk,100,RU,1563050576,87,59.36,143.24,55.64,2.59
336,Methoni,20,GR,1563050577,69,36.82,21.7,77.0,6.24
337,Boditi,100,ET,1563050578,93,6.95,37.86,63.2,1.25
338,Progreso,40,UY,1563050579,87,-34.68,-56.22,51.8,8.05
339,Ayorou,41,NE,1563050581,32,14.73,0.92,95.42,9.26
340,Flinders,0,AU,1563050582,70,-34.58,150.85,46.0,17.22
341,Taoudenni,58,ML,1563050584,12,22.68,-3.98,102.8,12.3
342,Wahiawa,90,US,1563050585,83,21.5,-158.02,84.2,11.41
343,Suez,0,EG,1563050288,65,29.97,32.54,74.54,7.61
344,Paramonga,62,PE,1563050587,87,-10.68,-77.82,60.86,13.44
345,Isangel,40,VU,1563050589,94,-19.55,169.27,73.4,6.13
346,Dennery,75,LC,1563050591,74,13.9,-60.89,87.01,12.75
347,Guanica,75,PR,1563050592,78,17.97,-66.91,87.01,19.46
348,Mabaruma,54,GY,1563050593,92,8.2,-59.78,79.22,3.33
349,Bilibino,29,RU,1563050594,47,68.06,166.44,67.16,3.31
350,Lagoa do Itaenga,75,BR,1563050596,83,-7.94,-35.29,77.0,14.99
351,Qujing,100,CN,1563050597,96,25.49,103.8,59.78,0.34
352,Baoding,1,CN,1563050598,61,38.86,115.49,72.38,5.19
353,Kirkland Lake,75,CA,1563050600,53,48.15,-80.03,75.2,18.34
354,Ostrovnoy,100,RU,1563050601,95,68.05,39.51,40.52,6.58
355,Wagar,99,US,1563050603,96,31.44,-87.99,75.0,12.5
356,Meulaboh,16,ID,1563050604,76,4.14,96.13,81.74,4.92
357,Ormara,100,PK,1563050605,78,25.21,64.64,81.38,14.54
358,Lavrentiya,0,RU,1563050607,53,65.58,-170.99,65.9,6.85
359,Arivonimamo,20,MG,1563050608,93,-19.01,47.18,51.8,8.05
360,Jonkoping,0,SE,1563050609,87,57.78,14.16,60.8,3.36
361,Bambanglipuro,47,ID,1563050611,79,-7.95,110.28,74.9,17.6
362,Takaka,100,NZ,1563050612,86,-40.86,172.81,55.99,13.0
363,Bay Roberts,75,CA,1563050613,72,47.58,-53.28,63.0,6.93
364,Pinsk,99,BY,1563050614,90,52.11,26.1,54.56,2.15
365,Motygino,100,RU,1563050616,55,58.18,94.69,60.32,1.41
366,Agirish,100,RU,1563050617,62,61.92,63.02,73.82,13.47
367,Amroha,14,IN,1563050618,72,28.91,78.47,84.08,4.76
368,Massaguet,40,TD,1563050620,83,12.48,15.44,75.2,9.17
369,Robe,97,ET,1563050621,89,7.12,40.01,49.52,4.29
370,Saurimo,0,AO,1563050623,32,-9.66,20.4,65.0,3.6
371,Burns Lake,11,CA,1563050398,37,54.23,-125.76,68.24,6.51
372,Boli,100,CN,1563050625,95,45.76,130.56,62.12,6.78
373,Moen,20,BE,1563050626,72,50.77,3.4,61.0,10.29
374,Maan,94,IN,1563050627,34,30.1,74.66,97.4,13.24
375,Taga,0,ID,1563050629,85,-8.61,120.44,63.74,4.97
